City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Klaksvík,62.23,-6.59,51.8,76,99,16.11,FO,1595870940
Hong Kong,22.29,114.16,86.0,74,20,6.93,HK,1595871389
Upernavik,72.79,-56.15,44.74,79,2,5.95,GL,1595871405
Leh,34.17,77.58,66.45,32,47,5.39,IN,1595870940
Port Macquarie,-31.43,152.92,48.99,89,38,8.86,AU,1595870859
George Town,5.41,100.34,78.8,94,20,5.82,MY,1595871405
Jamestown,42.1,-79.24,86.0,69,75,16.11,US,1595871376
Atuona,-9.8,-139.03,79.39,71,10,27.04,PF,1595871405
Khatanga,71.97,102.5,40.98,79,14,5.64,RU,1595871405
Saint-Philippe,-21.36,55.77,69.8,77,75,3.36,RE,1595871405
Ostrovnoy,68.05,39.51,63.14,77,23,2.17,RU,1595870941
Ardakān,32.31,54.02,98.6,12,40,4.7,IR,1595870996
Punta Arenas,-53.15,-70.92,42.8,52,40,18.34,CL,1595870997
Iqaluit,63.75,-68.51,53.6,81,75,5.82,CA,1595870997
Rikitea,-23.12,-134.97,71.26,74,100,14.07,PF,1595870997
Yerbogachën,61.28,108.01,58.21,73,98,8.79,RU,1595870944
Sola,-13.88,167.55,80.17,83,70,24.11,VU,1595870997
Arlit,18.74,7.39,105.3,8,72,4.72,NE,1595871461
Santa Rosa,14.31,121.11,79.0,94,100,2.24,PH,1595871461
Miandrivazo,-19.52,45.47,70.12,51,71,0.78,MG,1595871462
Banjarmasin,-3.32,114.59,73.98,95,22,4.12,ID,1595871462
Todos Santos,23.45,-110.22,73.0,85,77,7.0,MX,1595871462
Mkushi,-13.62,29.39,57.94,51,18,7.61,ZM,1595870998
Port Alfred,-33.59,26.89,57.81,68,0,14.18,ZA,1595870846
Craig,40.52,-107.55,82.4,24,1,6.93,US,1595870998
Maţāy,28.42,30.78,92.1,18,0,14.23,EG,1595871462
Mujiayingzi,42.12,118.78,64.8,85,57,5.28,CN,1595871462
Rocha,-34.48,-54.33,60.13,60,20,5.73,UY,1595871462
Beloha,-25.17,45.05,60.96,79,0,6.17,MG,1595871462
Blagoyevo,63.37,47.92,66.25,66,86,2.82,RU,1595871462
Geraldton,-28.77,114.6,55.4,93,75,4.7,AU,1595871463
Hilo,19.73,-155.09,75.2,88,90,10.29,US,1595871463
Vila Franca do Campo,37.72,-25.43,75.2,88,20,8.05,PT,1595871463
Tsimmerbude,54.67,20.13,66.2,77,20,6.71,RU,1595871463
Mataura,-46.19,168.86,39.0,83,97,3.0,NZ,1595871463
Cabo San Lucas,22.89,-109.91,89.01,72,45,5.99,MX,1595871208
Dingle,11.0,122.67,76.77,90,100,4.03,PH,1595871463
Saint Paul Harbor,57.79,-152.41,55.4,87,90,3.69,US,1595871463
Salinópolis,-0.61,-47.36,86.23,59,16,10.45,BR,1595871464
Ponta do Sol,32.67,-17.1,72.0,64,1,4.85,PT,1595871464
Udachny,66.42,112.4,39.2,93,90,4.47,RU,1595871464
San Cristobal,7.77,-72.22,91.4,41,40,10.29,VE,1595871464
Escárcega,18.61,-90.75,97.92,39,99,5.3,MX,1595871464
Lebu,-37.62,-73.65,49.17,63,13,12.84,CL,1595871464
Bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1595871002
Coyhaique,-45.58,-72.07,42.8,56,20,4.7,CL,1595871002
Kolosovka,56.47,73.61,55.45,85,6,4.25,RU,1595871002
Carnarvon,-24.87,113.63,51.8,100,0,4.7,AU,1595871003
Namatanai,-3.67,152.43,79.27,79,80,4.56,PG,1595871003
Liverpool,53.41,-2.98,62.01,82,40,20.8,GB,1595870877
Yaan,7.38,8.57,75.4,90,100,2.08,NG,1595871003
Arraial do Cabo,-22.97,-42.03,82.4,61,20,20.8,BR,1595871003
Comodoro Rivadavia,-45.87,-67.5,46.4,45,30,12.75,AR,1595871001
Touros,-5.2,-35.46,80.6,74,40,11.41,BR,1595871003
Saint George,37.1,-113.58,95.0,21,1,1.36,US,1595870872
Hobyo,5.35,48.53,79.41,77,11,23.87,SO,1595871003
Hobart,-42.88,147.33,45.0,93,90,5.82,AU,1595870856
